price,brand,model,year,mileage,engine_size,city,fuel_type,transmission,condition,owners,scraped_at
15700,Toyota,Prius,2010,383442,1.8,Sumqayıt,benzin,avtomat,yaxsi,1,2026-02-03 23:24:40
28700,Hyundai,Santa Fe,2014,172000,2.0,Bakı,benzin,avtomat,yaxsi,1,2026-02-03 23:24:40
37600,Toyota,Corolla Levin,2024,0,1.8,Bakı,benzin,avtomat,yaxsi,1,2026-02-03 23:24:40
75650,Porsche,Panamera GTS,2014,105000,4.8,Bakı,benzin,avtomat,yaxsi,1,2026-02-03 23:24:40
140590,Denza,N9,2020,0,2.0,Bakı,benzin,avtomat,yaxsi,1,2026-02-03 23:24:40
32300,Land,Rover Range Rover,2010,170042,5.0,Bakı,benzin,avtomat,yaxsi,1,2026-02-03 23:24:40
33333,Changan,CS 55 Plus,2025,0,1.5,Bakı,benzin,avtomat,yaxsi,1,2026-02-03 23:24:40
3600,Opel,Vita,1996,312457,1.4,Bakı,benzin,avtomat,yaxsi,1,2026-02-03 23:24:40
36400,Changan,Uni-Z,2025,0,1.5,Bakı,benzin,avtomat,yaxsi,1,2026-02-03 23:24:40
11000,Mercedes,E 230,2020,300000,2.3,Lənkəran,benzin,avtomat,yaxsi,1,2026-02-03 23:24:40
17800,Hyundai,Elantra,2011,230000,1.8,Bakı,benzin,avtomat,yaxsi,1,2026-02-03 23:24:40
23500,Chevrolet,Malibu,2020,265000,1.5,Gəncə,benzin,avtomat,yaxsi,1,2026-02-03 23:24:40
26300,BYD,Destroyer 05,2020,0,1.5,Bakı,benzin,avtomat,yaxsi,1,2026-02-03 23:24:40
56700,Changan,Deepal S07,2020,0,1.5,Bakı,benzin,avtomat,yaxsi,1,2026-02-03 23:24:40
8600,LADA,(VAZ) 21099,2020,256450,1.5,Bakı,benzin,avtomat,yaxsi,1,2026-02-03 23:24:40
53444,KAIYI,X7,2020,5700,1.6,Bakı,benzin,avtomat,yaxsi,1,2026-02-03 23:24:40
18900,Nissan,Note,2020,74000,1.2,Sumqayıt,benzin,avtomat,yaxsi,1,2026-02-03 23:24:40
6800,Toyota,Hilux,2005,150000,2.7,Bakı,benzin,avtomat,yaxsi,1,2026-02-03 23:24:40
7600,BMW,525,2020,345728,2.5,Bakı,benzin,avtomat,yaxsi,1,2026-02-03 23:24:40
5500,Mercedes,220 E,1994,255000,2.2,Bakı,benzin,avtomat,yaxsi,1,2026-02-03 23:24:40
29000,Changan,Eado,2025,0,1.5,Bakı,benzin,avtomat,yaxsi,1,2026-02-03 23:24:40
72300,Mitsubishi,L200,2002,0,2.4,Bakı,benzin,avtomat,yaxsi,1,2026-02-03 23:24:43
21500,Renault,Dokker,2019,247056,1.6,Bakı,benzin,avtomat,yaxsi,1,2026-02-03 23:24:43
36500,Changan,Uni-Z,2025,0,1.5,Bakı,benzin,avtomat,yaxsi,1,2026-02-03 23:24:43
42000,Changan,Qiyuan Q07,2020,0,1.5,Bakı,benzin,avtomat,yaxsi,1,2026-02-03 23:24:43
51754,BMW,X5,2020,177028,2.0,Bakı,benzin,avtomat,yaxsi,1,2026-02-03 23:24:43
21900,LADA,(VAZ) Niva,2025,1050,1.7,Gəncə,benzin,avtomat,yaxsi,1,2026-02-03 23:24:43
